block hash	block height	tx count	inputs count	block size	check	handle check	accept	connect	handle connect	reorg	handle reorg	call handler	total	t1 - t0  accept part	t2 - t1 populate	t3 - t2 handle_populated block->accept()	t4 - t3 handle_populated other	t5 - t4 handle_populated for	t6 - t5 accept_transactions	t7 - t6 handle_accepted	total
000000000000000001103f9db52a59bedd7bb36cf79c1a72f974141de1ed1102	545619	230	767	175998	5928351	908785	52001034	35194099	15537	883009109	18920	36768	977112603	147536	49008795	212447	4964	241011	2260521	2966	51878240
000000000000000001af1f3b918b4ea4d536c8c3970eee87de02dbb072053805	545620	2565	2725	606884	37432034	578571	260778278	33009042	16271	789442893	20535	45414	1121323038	134751	248922973	3232349	11494	5311450	3087541	944	260701502
0000000000000000012bb26d3e2a35cf14646259922f3f505ac0bde3a3174fc7	545621	56	314	54448	867097	1963085	11588146	12099864	14798	127300297	20778	32314	153886379	93443	10643383	106147	5994	435240	188994	1529	11474730
000000000000000001a3a2c0b074b414402c309c923cd7f7951cf9f17c76a5ab	545622	3	3	676	166673	561596	2153340	285074	8095	2548241	16913	67707	5807639	138836	1747683	51079	4721	37042	94022	1152	2074535
000000000000000000a4136296f9c34232a3da106f03020614025025959885bf	545623	226	441	92708	4472227	1003737	34993324	12837282	15231	402472507	15024	73582	455882914	142908	33385241	335622	6073	221381	765883	1265	34858373
000000000000000000b2a709401b50308ab488d7ad046b4cf0498c40e50b1de6	545624	65	121	71616	2282937	449502	8955710	3881324	13188	338124805	18067	32458	353757991	138265	6970551	108778	5254	504014	1118338	1052	8846252
000000000000000001d8079a371e7797bc129f327daea8aaa20a0a6d78128d29	545625	119	392	89024	1487426	518958	16523152	14328515	15547	249692517	19137	77180	282662432	89987	14930998	171388	5174	558940	690491	1688	16448666
000000000000000001fa5ec843dc67e9b5c99c0cf6454a3304a8fd6b06d50113	545626	152	159	35264	2050821	426858	13779774	3994769	15364	29810722	13396	30108	50121812	138128	12767873	220166	5240	234703	319085	926	13686121
000000000000000000c8c527f912097b190336e9cda8563507f4e24ae32dd3c1	545627	631	1007	203429	11622935	549640	63631781	22808738	25064	264838626	10569	27795	363515148	142364	60672056	652683	6711	1698193	335223	1322	63508552
00000000000000000106f8b1a63607bff2dae37629b9a89ae6159ec060aa24b9	545628	111	299	58571	1114512	749559	11427932	9781681	10737	158312262	14080	27575	181438338	86850	10353414	133005	4575	636420	115905	1012	11331181
000000000000000001904bd2669e565142fe98f41e4f3679f28daa0af6ae25f0	545629	44	73	16677	798852	475808	5551896	2334271	9319	48283087	9283	24753	57487269	131985	4681907	82182	3880	278457	299517	901	5478829
000000000000000001cf32e0bf85a998832df9dce72573c56c95384877810fd4	545630	56	95	21407	998695	23560	4972644	2452687	8665	56303469	7447	19158	64786325	131620	4273171	92097	3321	328830	70461	1005	4900505
000000000000000001b38e4f731f886f62d606eba3c30f0311ab37c0090c3389	545631	151	206	42405	1176205	467243	14679841	6195521	10479	36150180	8558	20735	58708762	87201	13826722	99548	3357	432863	131862	1126	14582679
0000000000000000018508519c70c42668fae9ee5bdc3858e13b471569fa2b35	545632	839	1043	223052	6507670	937760	65688441	24831346	15023	198880398	16964	38073	296915675	102482	62304725	748455	4960	2190094	238966	1636	65591318
00000000000000000170ea97b25beb1f25ea5eda8062e7841404d841f455702e	545633	48	160	28227	1134630	837713	6229991	5424368	12241	66457898	19014	75419	80191274	138528	5405833	96914	5231	290205	182534	1212	6120457
000000000000000000356e71cd88f80eb3107bf27db78f2a3c1b537ebf2b3ba0	545634	31	59	11837	336584	1122353	4757413	1832209	11378	32395078	15342	25434	40495791	92212	4040669	104692	4544	227561	178228	1573	4649479
000000000000000000bccb424a1bdb868720414a6b2ba4364adfa5bc7e24d973	545635	105	212	42194	1867403	392997	10172317	5851056	15487	149257748	15799	31376	167604183	133241	9228223	105042	5030	508838	83811	1349	10065534
000000000000000000a2e4a761e66cc89fd3bd4741d74e1951f48053bfe5ee6f	545636	49	99	21278	545440	333538	6290095	3266395	12489	64788549	11569	29938	75278013	104620	5624696	81729	4871	309620	55400	1253	6182189
0000000000000000019253f8e7c346b8474d1c5c9c5871a8d027329aadb67a6b	545637	22	43	8446	472029	18625	2546597	1162265	12265	26200505	12099	21253	30445638	133146	2106957	53721	4448	130756	30450	1275	2460753
00000000000000000120113cc99d5905a36e329816ca30314a6fd53be26ff992	545638	29	73	13568	346480	379538	4742005	2623641	12468	35619145	15160	70774	43809211	100507	4249523	73573	5395	169853	45794	1188	4645833
0000000000000000005eb730cf8490ad6977a7901d138beec13f506abd6a62d8	545639	34	98	18219	748989	498581	4249582	2587931	12964	59554979	12186	22855	67688067	143137	3591936	69304	5832	306848	26375	919	4144351
00000000000000000194510013951da150a18a050fa922e070917da57d26117e	545640	335	743	168621	7057671	1302828	26660024	25716503	15424	515009028	16000	94768	575872246	145170	23793442	373827	5891	1340873	869961	1401	26530565
